2019-01-01,ASIA_FOCUS,BBM,500,100,0.001,6700,0.67,3400,0.34,250,450,700,0.07,2133,3256,500,1260,1200,980,500,100,500,556
2019-01-02,PORTFOLIO-A,BBM,1000,200,0.002,3400,0.34,3200,0.32,450,900,1350,0.13,21,1260,1000,5400,1250,7600,1000,200,100,980
2019-01-03,ASIA_FOCUS,BBM,8000,300,0.003,3200,0.3,2100,0.21,900,150,1050,0.1,556,5400,8000,1200,9800,650,8000,300,7600,7600
2019-01-04,ASIA_FOCUS,BBM,9010,250,0.008,2100,0.25,350,0.35,750,400,1150,0.11,980,1200,9010,1250,4500,430,9010,250,2460,650
2019-02-01,ASIA_FOCUS,BBM,8010,400,0.004,350,0.35,570,0.57,350,450,800,0.8,7600,1250,8010,9800,2133,2300,8010,400,4346,430
2019-02-02,ASIA_FOCUS,BBM,9010,100,0.001,570,0.57,260,0.26,250,400,650,0.65,650,9800,9010,4500,21,3400,9010,100,3480,2300
2019-02-03,ASIA_FOCUS,BBM,8010,150,0.005,260,0.25,360,0.36,360,125,485,0.48,430,4500,8010,5400,556,3210,8010,150,3256,3400
2019-02-04,ASIA_FOCUS,BBM,60,10,0.001,360,0.35,1100,0.11,960,790,1750,0.17,2300,5400,60,6700,980,302,60,10,1250,8000
2019-03-01,ASIA_FOCUS,BBM,500,1,0.001,1100,0.11,100,0.01,250,250,500,0.5,3400,2090,500,3400,7600,500,500,1,3256,9010
2019-03-02,ASIA_FOCUS,BBM,100,12,0.0012,100,0.01,245,0.24,400,400,800,0.8,3210,8502,100,3200,650,1000,100,12,1260,8010
2019-03-03,ASIA_FOCUS,BBM,2090,250,0.0025,245,0.24,435,0.43,250,800,1050,0.1,302,7600,2090,2100,430,8000,2090,250,5400,9010
2019-03-04,ASIA_FOCUS,BBM,8502,400,0.004,435,0.43,28,0.28,280,450,730,0.73,500,2460,8502,350,2300,9010,8502,400,1200,8010
2019-04-01,ASIA_FOCUS,BBM,7600,12,0.0012,28,0.2,2133,0.21,300,200,500,0.5,1000,4346,7600,570,3400,8010,7600,12,556,60
2019-04-02,ASIA_FOCUS,BBM,2460,197,0.00197,2133,0.21,21,0.02,250,250,500,0.5,8000,3480,2460,260,3210,9010,2460,197,980,500
2019-04-03,ASIA_FOCUS,BBM,4346,65,0.0065,21,0.02,556,0.55,450,650,1100,0.11,9010,3256,4346,360,302,8010,4346,65,7600,100
2019-04-04,ASIA_FOCUS,BBM,3480,23,0.0023,556,0.56,980,0.098,200,200,400,0.4,8010,1260,3480,1100,500,60,3480,23,650,2090
2019-05-01,ASIA_FOCUS,BBM,3256,10,0.001,980,0.9,7600,0.76,500,250,750,0.75,9010,5400,3256,100,1000,500,3256,10,430,8502
2019-05-02,ASIA_FOCUS,BBM,1260,78,0.0078,7600,0.76,650,0.65,450,540,990,0.99,8010,1200,1260,245,8000,100,1260,78,2300,7600
2019-05-03,ASIA_FOCUS,BBM,5400,24,0.0024,650,0.6,430,0.43,840,250,1090,0.1,60,1250,5400,435,9010,7600,5400,24,3400,2460
2019-05-04,ASIA_FOCUS,BBM,1200,20,0.002,430,0.43,2300,0.23,250,450,700,0.7,500,9800,1200,28,8010,2460,1200,20,8000,4346
2019-06-01,ASIA_FOCUS,BBM,1250,56,0.0056,2300,0.23,3400,0.34,500,900,1400,0.14,100,4500,1250,2133,9010,4346,1250,56,9010,3480
2019-06-02,ASIA_FOCUS,BBM,9800,89,0.0089,3400,0.34,3210,0.32,450,750,1200,0.12,2090,2133,9800,21,8010,3480,9800,89,8010,3256
2019-06-03,ASIA_FOCUS,BBM,4500,54,0.0054,3210,0.32,302,0.3,200,350,550,0.55,8502,21,4500,556,60,3256,4500,54,9010,15
2019-06-04,ASIA_FOCUS,BBM,5400,10,0.001,302,0.1,500,0.5,100,250,350,0.35,7600,556,5400,980,500,1250,5400,10,8010,350
2019-07-01,ASIA_FOCUS,BBM,6700,98,0.0098,500,0.5,1000,0.1,90,360,450,0.45,2460,980,6700,7600,100,3256,6700,98,60,570
2019-07-02,ASIA_FOCUS,BBM,3400,20,0.002,1000,0.1,8000,0.8,750,960,1710,0.17,4346,7600,3400,650,7600,1260,3400,20,500,260
2019-07-03,ASIA_FOCUS,BBM,3200,10,0.001,8000,0.8,9010,0.9,300,250,550,0.55,3480,650,3200,430,2460,5400,3200,10,100,360
2019-07-04,ASIA_FOCUS,BBM,2100,15,0.0015,9010,0.9,8010,0.8,200,400,600,0.6,3256,430,2100,2300,4346,1200,2100,15,2090,1100
2019-08-01,ASIA_FOCUS,BBM,350,10,0.001,8010,0.8,9010,0.9,350,250,600,0.6,1260,2300,350,3400,3480,1250,350,350,8502,100
2019-08-02,ASIA_FOCUS,BBM,570,5,0.005,9010,0.9,8010,0.8,100,280,380,0.38,5400,3400,570,3210,3256,9800,570,570,7600,245
2019-08-03,ASIA_FOCUS,BBM,260,10,0.001,8010,0.8,60,0.06,450,300,750,0.75,1200,3210,260,302,1250,4500,260,260,2460,435
2019-08-04,ASIA_FOCUS,BBM,360,24,0.0024,60,0.09,500,0.5,900,250,1150,0.11,1250,302,360,500,3256,5400,360,360,4346,28
2019-09-01,ASIA_FOCUS,BBM,1100,24,0.0024,500,0.05,100,0.1,150,450,600,0.6,9800,500,1100,1000,1260,2090,1100,1100,3480,2133
2019-09-02,ASIA_FOCUS,BBM,100,29,0.0049,100,0.01,2090,0.2,400,200,600,0.6,4500,1000,100,8000,5400,8502,100,100,3256,21
2019-09-03,ASIA_FOCUS,BBM,245,3,0.003,2090,0.2,8502,0.85,450,500,950,0.95,5400,8000,245,9010,1200,7600,245,245,1260,556
2019-09-04,ASIA_FOCUS,BBM,435,34,0.0034,8502,0.85,7600,0.76,400,450,850,0.85,2090,9010,435,8010,1250,2460,435,435,5400,980
2019-10-01,ASIA_FOCUS,BBM,28,36,0.0036,7600,0.76,2460,0.24,125,100,225,0.22,8502,8010,28,9010,9800,4346,28,28,1200,7600
2019-10-02,ASIA_FOCUS,BBM,2133,67,0.0067,2460,0.24,4346,0.43,790,90,880,0.88,7600,9010,2133,8010,4500,3480,2133,2133,1250,650
2019-10-03,ASIA_FOCUS,BBM,21,54,0.0054,4346,0.43,3480,0.34,250,750,1000,0.1,2460,8010,21,60,5400,3256,21,21,9800,430
2019-10-04,ASIA_FOCUS,BBM,556,87,0.0087,3480,0.34,3256,0.32,400,300,700,0.7,4346,60,556,500,2090,1260,556,556,4500,2300
2019-11-01,ASIA_FOCUS,BBM,980,34,0.0034,3256,0.32,1260,0.12,800,200,1000,0.1,3480,500,980,100,8502,5400,980,980,5400,3400
2019-11-02,ASIA_FOCUS,BBM,7600,250,0.0043,1260,0.1,5400,0.54,450,350,800,0.8,3256,100,7600,2090,7600,1200,7600,7600,6700,3210
2019-11-03,ASIA_FOCUS,BBM,650,54,0.0054,5400,0.45,1200,0.12,200,100,300,0.3,1260,7600,650,8502,2460,1250,650,650,3400,3400
2019-11-04,ASIA_FOCUS,BBM,430,30,0.009,1200,0.12,1250,0.12,250,250,500,0.5,5400,2460,430,7600,4346,9800,430,430,3200,3200
