14
2019-01-01,BBM,ASIA_FOCUS,0,1000000,101000000,0.00990099
2019-02-01,BBM,ASIA_FOCUS,0,2000000,102000000,0.019607843
2019-03-01,BBM,ASIA_FOCUS,0,4000000,104000000,0.038461538
2019-04-01,BBM,ASIA_FOCUS,0,1000000,108000000,0.009259259
2019-05-01,BBM,ASIA_FOCUS,0,3000000,1000000,0.027272727
2019-06-01,BBM,ASIA_FOCUS,0,-5000000,3000000,-0.043103448
2019-07-01,BBM,ASIA_FOCUS,0,-3000000,-5000000,-0.028301887
2019-08-01,BBM,ASIA_FOCUS,0,6000000,-3000000,0.06
2019-09-01,BBM,ASIA_FOCUS,0,8000000,6000000,0.071428571
2019-10-01,BBM,ASIA_FOCUS,0,3000000,8000000,0.0234375
2019-11-01,BBM,ASIA_FOCUS,0,2000000,3000000,0.014925373
2019-12-01,BBM,ASIA_FOCUS,0,3000000,2000000,0.02173913
14
